gender,age,income,total_amount,p_completed,n_received,p_viewed
M,36,56000.0,118.85000000000001,0.22717711400925536,3,0.6666666666666666
F,76,47000.0,22.65,0.3090507726269316,5,0.6
M,68,87000.0,177.18,0.2088271813974489,5,1.0
M,75,52000.0,135.54000000000002,0.11066843736166444,3,1.0
M,67,76000.0,200.77999999999997,0.1444366968821596,5,1.0
M,77,51000.0,23.810000000000002,0.0,5,0.8
M,76,64000.0,110.92,0.09015506671474936,3,0.6666666666666666
M,57,98000.0,27.24,1.0,3,0.0
F,53,72000.0,167.88,0.2799618775315702,6,0.6666666666666666
F,53,117000.0,303.2,0.14841688654353563,5,0.8
F,53,55000.0,20.18,0.49554013875123887,5,0.6
F,61,112000.0,67.25,0.2527881040892193,5,1.0
F,67,77000.0,155.73,0.0642137032042638,3,1.0
F,58,85000.0,290.41999999999996,0.15494800633565184,4,1.0
F,46,36000.0,17.130000000000003,0.0,5,0.6
M,30,41000.0,11.95,0.0,2,1.0
M,59,89000.0,45.400000000000006,0.6607929515418501,6,0.6666666666666666
M,51,41000.0,75.96000000000001,0.32912058978409686,6,0.6666666666666666
M,27,35000.0,29.560000000000006,0.33829499323410006,5,0.8
M,40,53000.0,8.17,0.0,4,0.75
F,73,91000.0,109.16000000000001,0.2015390252839868,5,1.0
F,74,107000.0,298.3,0.124036205162588,5,0.8
M,42,66000.0,136.94,0.1971666423251059,3,0.6666666666666666
M,78,58000.0,126.94,0.23633212541358123,6,1.0
F,54,53000.0,57.029999999999994,0.3506926179203928,6,0.8333333333333334
F,70,74000.0,0.0,0.0,3,1.0
F,49,57000.0,184.78,0.1190605043835913,5,1.0
F,62,57000.0,0.0,0.0,3,0.6666666666666666
M,64,70000.0,140.34,0.33490095482399884,4,1.0
F,89,87000.0,248.63,0.17696979447371597,4,0.75
M,73,51000.0,23.43,0.42680324370465217,5,0.8
F,50,93000.0,297.29,0.09754784890174577,5,1.0
F,90,98000.0,80.03,0.12495314257153567,4,0.25
F,68,84000.0,34.04,0.2937720329024677,5,0.0
M,60,64000.0,44.13999999999999,0.1132759401903036,3,0.6666666666666666
M,45,54000.0,11.51,0.0,5,0.6
M,66,49000.0,200.93,0.19409744687204497,6,0.8333333333333334
F,19,73000.0,202.75,0.12330456226880394,5,0.6
F,66,58000.0,163.53,0.13453189017305692,5,0.8
F,72,72000.0,201.92000000000002,0.2575277337559429,6,0.8333333333333334
M,76,63000.0,224.76,0.200213561131874,5,1.0
M,52,78000.0,117.91999999999999,0.4240162822252375,5,0.6
M,55,31000.0,30.729999999999997,0.16270745200130168,4,0.5
F,39,60000.0,705.5000000000001,0.03543586109142451,4,1.0
F,45,44000.0,163.71000000000004,0.27487630566245186,6,0.3333333333333333
F,57,114000.0,184.82,0.21642679363705228,6,0.8333333333333334
M,74,48000.0,6.86,0.0,3,0.3333333333333333
M,18,47000.0,275.60999999999996,0.15964587641957842,6,0.6666666666666666
M,53,96000.0,138.84,0.20887352348026506,5,1.0
F,59,98000.0,112.04,0.26776151374509105,3,0.3333333333333333
M,57,46000.0,34.22,0.29222676797194624,4,0.75
F,51,56000.0,40.94,0.29311187103077674,5,0.8
F,64,37000.0,51.37000000000001,0.3893322951138796,5,1.0
M,71,57000.0,30.139999999999997,0.0,4,0.75
F,64,66000.0,50.349999999999994,0.39721946375372397,4,1.0
M,83,46000.0,16.77,0.0,5,1.0
M,26,71000.0,13.799999999999999,0.0,5,0.6
F,29,58000.0,30.479999999999997,0.22965879265091865,5,1.0
M,43,70000.0,2.03,0.0,4,0.75
F,89,65000.0,124.82000000000001,0.2403460983816696,4,1.0
F,49,79000.0,24.93,0.48134777376654636,5,1.0
M,79,67000.0,317.03,0.07885689051509322,4,0.75
F,55,94000.0,195.35000000000002,0.1382134630151011,5,1.0
M,55,66000.0,272.22999999999996,0.07346728868971092,5,0.6
M,45,31000.0,16.459999999999997,0.0,4,0.75
M,52,30000.0,9.8,0.0,4,0.5
M,39,55000.0,156.54,0.19164430816404754,4,0.75
M,77,69000.0,60.25,0.33195020746887965,4,0.5
M,66,60000.0,30.9,0.3883495145631068,5,0.6
F,69,87000.0,53.21,0.18793459875963164,4,1.0
M,74,53000.0,55.13,0.18138944313440958,2,1.0
F,75,87000.0,114.70000000000002,0.40976460331299036,5,1.0
F,59,85000.0,193.10000000000002,0.16571724495080267,6,0.8333333333333334
M,47,66000.0,74.17,0.2696508022111366,3,1.0
M,20,69000.0,0.87,0.0,4,0.5
M,60,108000.0,127.28,0.11785040854808297,4,1.0
M,65,61000.0,24.0,1.0,5,0.4
M,33,43000.0,19.78,0.5055611729019212,4,0.25
F,39,67000.0,562.77,0.017769248538479308,5,1.0
M,49,59000.0,38.260000000000005,0.13068478829064295,3,0.6666666666666666
M,68,58000.0,17.19,0.0,5,1.0
M,42,80000.0,53.74000000000001,0.18608113137327872,3,1.0
M,72,33000.0,8.14,0.0,6,0.5
F,18,49000.0,30.470000000000002,0.45946832950443056,5,0.6
F,32,42000.0,71.19,0.1404691670178396,2,0.5
M,67,50000.0,33.07,0.21167221046265497,5,1.0
M,52,42000.0,5.4,0.0,5,0.4
M,38,64000.0,150.94,0.16562872664634953,3,0.6666666666666666
F,60,77000.0,106.91,0.4396221120568703,6,0.8333333333333334
F,62,77000.0,33.46,0.4482964734010759,5,0.6
F,55,51000.0,25.9,0.19305019305019305,4,1.0
M,22,63000.0,19.799999999999997,0.0,5,1.0
M,34,41000.0,118.41,0.2533569799847986,4,0.5
M,46,60000.0,105.58000000000001,0.18942981625307823,5,0.8
M,85,67000.0,22.18,0.3155996393146979,3,0.6666666666666666
F,51,85000.0,180.0,0.17777777777777778,5,0.6
F,53,85000.0,177.09,0.2541080806369643,5,0.8
M,51,92000.0,330.9200000000001,0.15109391998065994,5,1.0
M,48,44000.0,58.18,0.2921966311447233,5,0.8
M,52,72000.0,66.05,0.5299015897047691,6,1.0
M,62,53000.0,125.55999999999999,0.2389295954125518,4,0.75
M,42,62000.0,12.120000000000001,0.0,5,0.2
M,55,65000.0,16.689999999999998,0.0,3,1.0
F,27,50000.0,89.78,0.2227667631989307,4,1.0
M,68,107000.0,253.71999999999997,0.10641652215040202,5,0.4
F,74,83000.0,25.69,0.19462826002335537,2,0.5
M,77,66000.0,87.13,0.768965913003558,6,0.5
M,35,72000.0,261.56,0.19116072794005198,5,0.6
F,50,69000.0,184.96,0.16219723183391002,5,1.0
M,45,94000.0,162.90999999999997,0.30691793014547913,5,0.8
M,82,87000.0,155.64,0.0,2,1.0
M,40,57000.0,79.94999999999999,0.08755472170106318,4,1.0
M,66,34000.0,10.6,0.0,3,0.6666666666666666
M,52,63000.0,6.18,0.0,3,0.6666666666666666
F,57,89000.0,226.68,0.2073407446620787,5,0.6
M,68,69000.0,143.03,0.4194924141788436,4,0.75
M,21,52000.0,13.98,0.7153075822603719,4,0.75
M,61,44000.0,17.700000000000003,0.9604519774011298,6,0.5
F,58,54000.0,21.5,0.0,5,0.4
F,67,54000.0,17.38,0.0,4,0.75
M,24,61000.0,155.42,0.0965126753313602,5,0.4
M,26,35000.0,10.099999999999998,0.0,5,0.6
F,71,105000.0,212.26999999999998,0.1978612144909785,4,0.75
F,69,64000.0,146.48999999999998,0.20479213598197832,5,0.8
M,81,93000.0,0.0,0.0,6,1.0
M,62,73000.0,232.19000000000003,0.0861363538481416,5,1.0
M,38,74000.0,796.7700000000001,0.012550673343624884,1,1.0
M,61,82000.0,62.650000000000006,0.31923383878691136,3,0.3333333333333333
F,52,92000.0,23.59,1.0,4,1.0
M,50,70000.0,218.67000000000002,0.09146202039603055,4,1.0
M,54,118000.0,185.60999999999999,0.16162922256343948,5,1.0
F,75,109000.0,37.04,0.26997840172786175,2,1.0
M,82,73000.0,36.3,0.1928374655647383,6,0.5
M,64,38000.0,10.54,0.0,6,0.5
F,54,99000.0,163.17999999999998,0.13482044368182378,6,0.8333333333333334
M,82,72000.0,16.430000000000003,0.9129640900791234,4,0.5
M,90,45000.0,10.759999999999998,0.4646840148698886,4,0.5
F,34,67000.0,19.06,0.0,5,0.6
M,44,53000.0,69.32,0.14425851125216388,3,1.0
F,79,106000.0,0.0,0.0,4,0.5
F,58,95000.0,321.03000000000003,0.12459894713889666,5,0.4
F,47,74000.0,254.69000000000003,0.05889512740979229,3,0.6666666666666666
F,60,59000.0,24.6,0.2032520325203252,6,0.5
M,83,54000.0,164.79,0.09102494083378847,4,0.75
F,74,103000.0,0.0,0.0,6,0.5
M,89,101000.0,160.52,0.04360827311238474,4,0.75
M,68,62000.0,142.29999999999998,0.22487702037947999,4,1.0
F,63,110000.0,102.66999999999999,0.34089802279146786,5,0.4
F,40,51000.0,72.2,0.0,4,1.0
F,79,99000.0,161.85,0.06178560395427866,4,0.75
M,71,30000.0,12.49,0.0,3,0.3333333333333333
F,76,114000.0,183.18,0.27295556283437056,6,0.6666666666666666
M,89,96000.0,140.53,0.33444816053511706,5,1.0
M,63,36000.0,12.159999999999998,0.5756578947368421,6,0.6666666666666666
M,41,83000.0,0.0,0.0,5,1.0
F,71,56000.0,164.16,0.25584795321637427,6,0.8333333333333334
M,44,36000.0,21.560000000000002,0.3246753246753246,6,0.5
M,25,73000.0,69.86999999999999,0.28624588521540006,1,1.0
M,27,70000.0,13.290000000000001,0.0,4,0.5
M,67,106000.0,171.87,0.1163670215860825,5,0.8
F,77,80000.0,222.36,0.2698327037236913,6,1.0
F,68,66000.0,145.28000000000003,0.30974669603524224,5,1.0
M,37,64000.0,261.37,0.1224318016604813,5,0.8
M,55,60000.0,15.329999999999998,0.0,4,0.25
M,30,54000.0,700.4699999999999,0.058532128428055455,6,1.0
M,51,54000.0,252.23,0.12686833445664672,6,0.8333333333333334
F,47,92000.0,66.15,0.10582010582010581,4,1.0
M,49,48000.0,19.240000000000002,0.3638253638253638,5,0.8
M,32,38000.0,172.35,0.20307513780098638,6,0.8333333333333334
M,30,69000.0,167.79000000000002,0.2383932296322784,4,0.5
M,47,86000.0,241.54999999999995,0.1117780997723039,4,1.0
M,34,34000.0,88.83000000000001,0.16886187098953054,4,1.0
F,78,101000.0,187.29,0.26696566821506756,3,0.3333333333333333
F,85,71000.0,274.16999999999996,0.05471058102637051,6,0.5
F,75,69000.0,121.86,0.36927621861152143,6,1.0
F,76,71000.0,240.14,0.16656950112434415,5,0.8
F,89,59000.0,56.519999999999996,0.21231422505307856,3,1.0
M,58,70000.0,30.41,0.49325879644853665,6,0.8333333333333334
M,23,49000.0,74.96,0.3601921024546425,5,1.0
M,58,53000.0,122.65,0.17937219730941703,5,1.0
F,64,95000.0,179.98,0.12223580397821981,5,0.6
M,72,39000.0,96.14,0.26003744539213647,5,0.8
F,66,72000.0,113.85,0.4391743522178305,5,1.0
F,49,68000.0,14.489999999999998,0.0,6,0.3333333333333333
M,43,71000.0,204.5,0.07334963325183375,2,1.0
M,58,39000.0,5.04,0.0,5,0.4
M,43,76000.0,157.16000000000003,0.19088826673453801,5,1.0
F,56,87000.0,223.46,0.15662758435514185,4,0.5
F,69,118000.0,54.1,0.09242144177449169,4,0.5
O,60,94000.0,857.75,0.05246283882250073,5,1.0
M,81,70000.0,153.94,0.24035338443549434,4,0.75
M,42,91000.0,139.98,0.25003571938848407,5,0.8
M,75,71000.0,50.56000000000001,0.0,3,1.0
M,62,73000.0,27.23,0.1836210062431142,6,0.6666666666666666
F,55,54000.0,220.47000000000006,0.22678822515534988,5,1.0
M,65,39000.0,82.42,0.3882552778451832,6,0.6666666666666666
M,52,46000.0,141.64,0.21180457497881958,6,0.3333333333333333
F,30,40000.0,110.79,0.13539128080151638,5,1.0
F,74,75000.0,99.47000000000001,0.30159847190107564,4,0.5
F,100,63000.0,217.62,0.06892748828232699,4,1.0
F,26,40000.0,610.52,0.10974251457773701,5,0.4
F,56,53000.0,83.71,0.3225421096643173,3,1.0
M,50,90000.0,99.58,0.3514762000401687,6,0.8333333333333334
M,73,95000.0,71.44,0.2799552071668533,5,0.4
F,49,74000.0,100.63,0.16893570505813377,4,0.5
M,37,50000.0,125.62,0.17513134851138354,5,1.0
M,65,57000.0,308.01,0.08765949157494887,5,1.0
F,64,81000.0,189.79000000000002,0.21075926023499655,5,1.0
F,48,53000.0,55.99,0.5358099660653688,4,0.75
M,20,32000.0,93.69999999999999,0.21344717182497336,5,0.6
M,46,40000.0,127.31,0.11782263765611499,3,1.0
M,24,69000.0,67.32000000000001,0.2228163992869875,4,0.5
M,71,95000.0,333.15999999999997,0.0900468243486613,4,1.0
F,50,78000.0,0.0,0.0,5,1.0
M,37,92000.0,191.59,0.07829218643979331,3,0.6666666666666666
F,57,81000.0,129.14,0.518816787982035,6,0.6666666666666666
M,52,85000.0,142.75,0.15411558669001751,4,0.75
M,41,41000.0,22.31,0.0,4,0.5
F,66,74000.0,107.5,0.32558139534883723,3,0.6666666666666666
F,66,87000.0,173.79999999999998,0.15535097813578827,5,1.0
F,68,120000.0,164.52,0.0911743253099927,3,0.6666666666666666
M,20,70000.0,19.79,0.0,3,0.6666666666666666
M,43,42000.0,64.73,0.15448787270199288,5,0.4
M,73,38000.0,104.79000000000002,0.47714476572191994,5,0.8
F,42,56000.0,146.62,0.23871231755558586,4,1.0
M,82,110000.0,222.45,0.053944706675657456,6,1.0
F,70,92000.0,135.57999999999998,0.19914441658061663,4,0.25
F,42,71000.0,66.67,0.2999850007499625,3,1.0
M,48,62000.0,125.62,0.07960515841426524,3,1.0
F,53,93000.0,222.34999999999997,0.1304250056217675,5,1.0
M,64,67000.0,0.0,0.0,4,1.0
M,79,90000.0,87.65,0.22818026240730174,3,1.0
M,51,55000.0,30.89,0.0,3,0.6666666666666666
F,45,88000.0,0.0,0.0,5,0.8
F,48,105000.0,96.45,0.10368066355624676,3,0.3333333333333333
F,54,119000.0,181.16000000000003,0.11039964672113048,5,0.6
M,52,48000.0,31.400000000000002,0.22292993630573246,6,0.5
M,28,68000.0,171.80999999999997,0.02910191490600082,6,0.6666666666666666
M,69,47000.0,56.84,0.17593244194229415,6,0.8333333333333334
M,73,92000.0,298.64,0.15068309670506297,6,0.8333333333333334
F,67,71000.0,87.88,0.28447883477469277,6,0.5
F,76,34000.0,82.42999999999999,0.12131505519835013,6,0.3333333333333333
F,55,53000.0,140.48000000000002,0.2277904328018223,5,0.6
F,89,83000.0,50.89,0.39300451955197485,4,1.0
M,57,41000.0,21.36,0.5617977528089888,2,1.0
F,54,70000.0,9.77,0.5117707267144319,6,0.3333333333333333
M,58,73000.0,23.45,0.0,5,0.6
M,49,39000.0,5.09,0.0,5,0.8
F,73,79000.0,55.9,0.17889087656529518,5,0.6
F,58,76000.0,163.13,0.2268129712499234,6,0.5
M,51,70000.0,22.970000000000002,0.0,5,0.8
M,74,78000.0,169.31,0.23625302699190834,4,0.5
M,53,95000.0,133.4,0.239880059970015,5,0.6
M,61,32000.0,38.910000000000004,0.5140066820868671,4,0.75
M,41,55000.0,0.0,0.0,4,1.0
F,64,95000.0,218.45999999999998,0.09154994049253869,4,0.75
M,42,75000.0,148.84,0.08062348830959419,5,1.0
M,50,57000.0,304.61,0.09848658940940874,5,0.8
M,60,56000.0,32.519999999999996,0.0,3,1.0
F,57,83000.0,261.09,0.09575242253629018,5,1.0
F,39,54000.0,213.60000000000002,0.12640449438202245,5,1.0
F,57,67000.0,378.95,0.11083256366275235,6,0.6666666666666666
M,57,71000.0,106.30000000000001,0.23518344308560674,5,0.8
M,68,51000.0,64.50999999999999,0.15501472639900793,2,0.5
F,83,114000.0,198.57000000000002,0.050360074532910304,2,1.0
F,35,72000.0,103.97,0.33663556795229393,5,0.8
F,90,72000.0,47.910000000000004,0.20872469213107908,3,1.0
M,56,72000.0,16.53,0.6049606775559588,5,0.6
M,84,81000.0,33.93,0.0,2,1.0
M,62,39000.0,25.22,0.39651070578905634,6,0.6666666666666666
M,63,58000.0,193.46999999999997,0.2687755207525715,5,1.0
M,67,56000.0,93.94999999999999,0.1809473124002129,5,1.0
F,68,50000.0,104.26999999999998,0.38361944950609,5,1.0
M,55,73000.0,75.52000000000001,0.26483050847457623,4,0.5
F,24,59000.0,610.0999999999999,0.1311260449106704,6,0.6666666666666666
M,40,39000.0,33.279999999999994,1.0,5,0.6
M,83,61000.0,75.41,0.09282588516111923,6,0.8333333333333334
F,63,41000.0,58.87,0.5095974180397487,5,0.8
F,59,59000.0,206.86,0.1546939959392826,5,0.8
O,49,42000.0,119.60000000000001,0.30936454849498324,4,0.75
F,61,99000.0,156.28,0.09598157153826466,4,1.0
M,42,57000.0,40.05,0.24968789013732837,4,0.75
M,58,36000.0,24.57,0.5698005698005698,4,0.75
F,48,44000.0,94.18,0.31853896793374387,4,0.5
M,35,64000.0,14.86,0.6729475100942127,4,0.5
M,36,31000.0,33.480000000000004,0.29868578255675027,5,0.8
F,41,100000.0,102.11999999999999,0.34273403838621236,3,1.0
F,83,73000.0,246.75000000000003,0.20263424518743664,5,1.0
M,53,87000.0,96.24,0.41562759767248547,4,0.75
F,53,97000.0,195.43,0.28143069129611625,5,0.4
F,80,48000.0,431.56000000000006,0.034757623505422185,3,1.0
M,25,66000.0,27.28,0.36656891495601174,5,0.8
M,63,119000.0,126.59,0.2369855438818232,5,0.6
F,63,66000.0,164.66,0.030365601846228593,3,0.6666666666666666
F,56,109000.0,400.53,0.07490075649764064,5,0.6
M,43,59000.0,9.55,0.7329842931937173,6,0.5
F,58,58000.0,61.78,0.24279702168986728,6,0.3333333333333333
M,59,59000.0,195.82999999999998,0.3063881938415973,5,1.0
M,49,104000.0,79.54,0.0628614533568016,5,0.2
F,63,70000.0,22.009999999999998,0.0,6,0.6666666666666666
M,42,94000.0,219.97,0.1591126062644906,5,0.8
F,52,57000.0,33.91,0.29489826010026543,5,0.6
F,57,37000.0,309.9,0.048402710551790906,3,1.0
F,56,59000.0,65.22,0.30665440049064707,3,0.6666666666666666
M,80,87000.0,83.4,0.05995203836930455,5,0.8
M,43,52000.0,172.94,0.14455880652249337,6,1.0
M,54,70000.0,14.190000000000001,0.0,4,0.75
M,28,73000.0,127.81,0.2503716454111572,5,0.6
F,57,95000.0,215.32,0.1253947612855285,5,0.6
M,71,67000.0,35.25,0.0,5,0.8
F,64,112000.0,104.63,0.19114976584153684,4,0.5
M,20,49000.0,10.83,0.0,3,0.3333333333333333
F,36,58000.0,87.33,0.19466391847017062,5,1.0
F,45,99000.0,179.08,0.02792048246593701,2,1.0
M,71,65000.0,142.76999999999998,0.0,4,1.0
M,67,89000.0,88.81,0.22519986488008106,5,1.0
F,72,81000.0,116.60000000000001,0.1457975986277873,5,0.6
M,51,100000.0,156.07999999999998,0.12813941568426448,3,1.0
M,48,68000.0,99.11000000000001,0.1513469881949349,3,1.0
M,53,60000.0,35.2,0.28409090909090906,4,0.75
M,25,53000.0,9.47,0.0,3,1.0
F,79,85000.0,274.4,0.15306122448979592,6,0.8333333333333334
M,19,32000.0,14.780000000000003,0.0,6,0.8333333333333334
F,28,49000.0,8.9,0.7865168539325842,6,0.5
M,56,76000.0,188.9,0.2593965060878772,5,1.0
M,44,37000.0,21.029999999999998,0.0,4,0.5
M,25,40000.0,41.68,0.4798464491362764,4,0.75
F,61,78000.0,142.57999999999998,0.1402721279281807,4,0.5
M,34,59000.0,18.090000000000003,0.0,2,0.5
F,41,37000.0,133.56,0.22461814914645103,3,1.0
M,44,51000.0,39.88,0.17552657973921765,3,0.3333333333333333
F,51,92000.0,77.24,0.06473329880890731,3,0.6666666666666666
M,47,44000.0,4.54,0.0,4,0.75
F,63,70000.0,56.83,0.17596339961288052,5,0.4
M,62,61000.0,62.519999999999996,0.0,3,1.0
M,66,71000.0,31.67,0.5367856015156299,4,1.0
M,62,70000.0,105.69999999999999,0.2838221381267739,4,1.0
M,83,88000.0,278.71,0.09687488787628719,6,0.8333333333333334
M,43,58000.0,18.97,0.5271481286241434,5,0.6
F,66,94000.0,48.22,0.3110742430526752,6,0.3333333333333333
M,70,44000.0,12.61,0.0,4,1.0
F,65,66000.0,58.38,0.34258307639602603,6,1.0
F,33,54000.0,190.83,0.1938898496043599,4,0.5
M,63,78000.0,20.86,0.4793863854266539,4,1.0
M,77,42000.0,16.21,0.0,5,0.8
F,49,57000.0,30.200000000000003,0.16556291390728475,5,0.4
M,53,104000.0,215.63,0.24115382831702453,6,0.8333333333333334
F,61,87000.0,191.42,0.20896458050360464,5,0.6
M,60,38000.0,117.13000000000001,0.4866387774267907,5,0.6
F,44,60000.0,167.0,0.10179640718562874,2,1.0
M,69,62000.0,91.47,0.13119055428009183,5,1.0
M,39,71000.0,12.33,0.0,4,0.75
F,38,55000.0,77.83,0.19272773994603623,4,0.75
F,83,99000.0,174.91,0.22868904007775429,4,0.75
F,63,94000.0,255.7,0.12514665623777865,5,0.8
F,41,41000.0,27.029999999999998,0.0,2,0.5
M,54,39000.0,24.55,0.40733197556008144,4,0.5
M,41,55000.0,74.77999999999999,0.2674511901577962,5,0.8
F,56,69000.0,22.85,0.2188183807439825,4,0.25
M,50,98000.0,26.7,1.0,6,0.3333333333333333
M,58,55000.0,162.13,0.18503669894529082,6,1.0
M,39,61000.0,65.82,0.6077180188392587,6,0.6666666666666666
F,60,55000.0,81.14999999999999,0.30807147258163897,4,1.0
F,60,74000.0,89.35,0.24622271964185788,5,0.6
M,24,38000.0,5.89,0.0,4,0.75
M,48,57000.0,139.69,0.22907867420717304,6,1.0
M,50,110000.0,106.57999999999998,0.2064177143929443,6,0.8333333333333334
F,41,67000.0,32.6,0.3067484662576687,4,1.0
M,45,84000.0,164.07,0.18284878405558605,3,1.0
M,48,93000.0,209.17000000000002,0.12908160826122292,4,0.75
M,59,87000.0,57.29,0.4363763309478094,5,0.6
M,43,45000.0,18.54,0.0,2,1.0
F,56,67000.0,270.03,0.11109876680368849,4,0.5
M,54,93000.0,261.22,0.12250210550493836,4,1.0
F,48,47000.0,98.85,0.05058168942842691,3,0.6666666666666666
M,63,49000.0,13.989999999999998,1.0,6,0.5
M,47,35000.0,31.99,0.15629884338855893,4,0.5
M,52,56000.0,48.88,0.0,5,1.0
F,58,78000.0,93.96000000000001,0.7130693912303107,6,0.6666666666666666
M,78,39000.0,49.08,0.3056234718826406,6,0.8333333333333334
M,43,40000.0,71.03,0.2815711671124877,4,0.75
M,68,61000.0,11.34,0.0,4,0.5
M,18,48000.0,27.54,0.0,5,0.2
F,39,85000.0,162.07,0.16659468131054483,4,1.0
M,74,99000.0,71.17999999999999,0.23883113234054512,4,1.0
F,53,98000.0,148.85,0.20154517971111857,5,0.8
F,61,67000.0,366.73999999999995,0.0954354583628729,5,1.0
M,23,54000.0,21.04,0.0,3,0.3333333333333333
M,46,55000.0,29.97,0.33366700033366703,5,1.0
M,51,78000.0,25.37,0.0,5,0.8
M,77,86000.0,127.89,0.11728829462819611,5,0.8
F,79,91000.0,136.59,0.08785416209092906,5,0.8
M,41,41000.0,30.959999999999997,0.2260981912144703,6,0.6666666666666666
F,60,78000.0,170.76999999999998,0.2927914739122797,6,0.8333333333333334
F,54,47000.0,137.43,0.18191079094811904,6,0.8333333333333334
O,63,89000.0,166.59,0.09004141905276428,2,1.0
M,73,76000.0,31.89,0.15678896205707119,5,1.0
M,47,77000.0,62.73,0.2710027100271003,6,0.8333333333333334
M,84,82000.0,88.75999999999999,0.11266336187471836,2,1.0
M,20,56000.0,27.77,0.3601008282319049,6,0.8333333333333334
F,24,35000.0,41.45,0.0,6,0.6666666666666666
F,58,71000.0,96.07000000000001,0.1769543041532216,4,1.0
M,35,40000.0,18.310000000000002,0.38230475150191146,6,0.16666666666666666
M,57,33000.0,11.18,0.0,6,0.5
M,87,55000.0,49.17,0.3050640634533252,6,0.5
F,86,84000.0,137.35,0.3785948307244267,6,0.6666666666666666
F,57,100000.0,98.33999999999999,0.20337604230221681,5,0.6
M,61,112000.0,143.43,0.20916126333403054,5,0.6
M,25,53000.0,15.950000000000001,0.6269592476489028,3,0.6666666666666666
M,38,31000.0,46.98,0.6385696040868455,4,0.75
M,94,50000.0,77.21000000000001,0.323792254889263,4,1.0
M,59,61000.0,198.12,0.20189783969311528,5,1.0
F,49,73000.0,0.0,0.0,5,0.8
F,61,72000.0,46.66,0.7929704243463352,3,0.6666666666666666
M,31,64000.0,34.03,0.14692918013517484,3,0.6666666666666666
F,75,53000.0,77.19,0.194325689856199,5,1.0
M,51,65000.0,15.73,0.31786395422759056,4,0.75
M,68,74000.0,189.10000000000002,0.1586462189317821,4,1.0
M,86,71000.0,15.399999999999999,0.9740259740259741,5,0.4
F,62,117000.0,169.60000000000002,0.14740566037735847,4,0.5
M,61,64000.0,26.59,0.0,3,0.6666666666666666
F,63,57000.0,27.57,0.2538991657598839,3,0.6666666666666666
F,26,52000.0,152.89,0.09810975210935968,6,0.6666666666666666
F,50,77000.0,207.46,0.09158391979176708,4,1.0
F,45,93000.0,342.15999999999997,0.04091653027823241,3,1.0
F,88,64000.0,152.85999999999999,0.2420515504383096,4,1.0
F,50,92000.0,77.99000000000001,0.1282215668675471,2,0.5
F,65,119000.0,370.27,0.0945256164420558,5,1.0
